paper,journal,year,n_figures,annotated_share,graph_nodes,graph_spine,judge_checks,judge_overturns,traces_cut,open,closed_by_rule,written,passed_nets,reread_flags,valid,valid_partial,text_sufficient,inspect,inspect_cause,subagent_dispatches,wall_minutes
Journal_of_Advanced_Ceramics__s40145-019-0329-1,Journal_of_Advanced_Ceramics,2019,8,0.5,39,12,24,0,3,0,R3:2/R4:0/R6:0/skip:1/no_crop:0,0,0,0,0,0,0,0,,2,9.3
Advanced_Functional_Materials__10.1002_adfm.201604687,Advanced_Functional_Materials,2016,6,0.647,51,16,33,0,2,0,R3:0/R4:0/R6:0/skip:1/no_crop:0/other:1,0,0,0,0,0,0,0,,2,10.3
Advanced_Materials__10.1002_adma.201404945,Advanced_Materials,2015,4,0.867,42,14,30,0,2,0,R3:1/R4:0/R6:0/skip:1/no_crop:0,0,0,0,0,0,0,0,,2,10.2
Bioactive_Materials__j.bioactmat.2020.02.005,Bioactive_Materials,2020,11,0.81,55,18,25,0,3,0,R3:0/R4:1/R6:1/skip:0/no_crop:1,0,0,0,0,0,0,0,,2,11.0
Materials_Characterization__j.matchar.2017.11.052,Materials_Characterization,2017,9,0.556,39,13,19,0,3,0,R3:2/R4:0/R6:0/skip:1/no_crop:0,0,0,0,0,0,0,0,,2,8.2
Journal_of_Magnesium_and_Alloys__j.jma.2020.02.028,Journal_of_Magnesium_and_Alloys,2020,15,0.514,49,19,21,0,2,0,R3:0/R4:0/R6:0/skip:1/no_crop:0/other:1,0,0,0,0,0,0,0,,2,19.2
Journal_of_Materials_Science_&_Technology__j.jmst.2021.11.055,Journal_of_Materials_Science_&_Technology,2022,5,0.941,59,16,40,0,1,0,R3:0/R4:0/R6:0/skip:1/no_crop:0,0,0,0,0,0,0,0,,2,21.1
Materials_Characterization__j.matchar.2015.10.016,Materials_Characterization,2015,7,0.571,46,14,25,0,0,0,R3:0/R4:0/R6:0/skip:0/no_crop:0,0,0,0,0,0,0,0,,2,18.6
Nano_Letters__10.1021_acs.nanolett.5b03976,Nano_Letters,2016,5,0.562,46,18,17,0,4,0,R3:0/R4:1/R6:0/skip:2/no_crop:1,0,0,0,0,0,0,0,,2,13.9
Acta_Materialia__10.1016_j.actamat.2015.04.055,Acta_Materialia,2015,5,0.733,39,14,22,0,2,1,R3:1/R4:0/R6:0/skip:0/no_crop:0,1,2,1,0,0,0,1,graph:1,10,28.7
