file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F6a.png,10.1016/j.actamat.2014.06.008#F6a,F6a,1,o6,XRD:CXD,crop,shown,693,260,True,and cooling down
images/F6b.png,10.1016/j.actamat.2014.06.008#F6b,F6b,1,o6,XRD:CXD,crop,shown,691,255,True,and cooling down
images/F6c.png,10.1016/j.actamat.2014.06.008#F6c,F6c,1,o6,XRD:CXD,crop,shown,693,249,True,"and cooling down Along the film thickness uz the displacement field is uniform. On the other hand, an increasing number of phase jumps appear in the x direction during heating up. In the y direction the phase is initially inhomogeneous (several phase jumps) but remains quite constant during thermal loading"
images/F6d.png,10.1016/j.actamat.2014.06.008#F6d,F6d,1,o6,XRD:CXD,crop,shown,691,254,True,"Along the film thickness uz the displacement field is uniform. On the other hand, an increasing number of phase jumps appear in the x direction during heating up. In the y direction the phase is initially inhomogeneous (several phase jumps) but remains quite constant during thermal loading"
images/F6e.png,10.1016/j.actamat.2014.06.008#F6e,F6e,1,o6,XRD:CXD,crop,shown,691,254,True,"Along the film thickness uz the displacement field is uniform. On the other hand, an increasing number of phase jumps appear in the x direction during heating up. In the y direction the phase is initially inhomogeneous (several phase jumps) but remains quite constant during thermal loading"
images/F5a.png,10.1016/j.actamat.2014.06.008#F5a,F5a,2,o8,XRD:CXD,crop,partial,633,315,True,and cooling down
images/F5c.png,10.1016/j.actamat.2014.06.008#F5c,F5c,2,o8,XRD:CXD,crop,partial,633,310,True,"and cooling down During thermal cycling, the peak center of mass moves down in reciprocal space because of the average strain (see red line). Moreover the peak width increases greatly in the qx direction (see black lines). (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
images/F5e.png,10.1016/j.actamat.2014.06.008#F5e,F5e,2,o8,XRD:CXD,crop,partial,632,326,True,"During thermal cycling, the peak center of mass moves down in reciprocal space because of the average strain (see red line). Moreover the peak width increases greatly in the qx direction (see black lines). (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
images/F4b.png,10.1016/j.actamat.2014.06.008#F4b,F4b,3,o10,XRD:CXD,crop,partial,646,361,True,"qx peak width is reported during heating up (red line) and cooling down (blue line). (For interpretation of the references to color in this figure legend, the reader is referred to the web version of this article.)"
images/F6a.png,10.1016/j.actamat.2014.06.008#F6a,F6a,4,o11,XRD:CXD,crop,shown,693,260,True,and cooling down
images/F6b.png,10.1016/j.actamat.2014.06.008#F6b,F6b,4,o11,XRD:CXD,crop,shown,691,255,True,and cooling down
images/F6c.png,10.1016/j.actamat.2014.06.008#F6c,F6c,4,o11,XRD:CXD,crop,shown,693,249,True,"and cooling down Along the film thickness uz the displacement field is uniform. On the other hand, an increasing number of phase jumps appear in the x direction during heating up. In the y direction the phase is initially inhomogeneous (several phase jumps) but remains quite constant during thermal loading"
images/F6d.png,10.1016/j.actamat.2014.06.008#F6d,F6d,4,o11,XRD:CXD,crop,shown,691,254,True,"Along the film thickness uz the displacement field is uniform. On the other hand, an increasing number of phase jumps appear in the x direction during heating up. In the y direction the phase is initially inhomogeneous (several phase jumps) but remains quite constant during thermal loading"
images/F6e.png,10.1016/j.actamat.2014.06.008#F6e,F6e,4,o11,XRD:CXD,crop,shown,691,254,True,"Along the film thickness uz the displacement field is uniform. On the other hand, an increasing number of phase jumps appear in the x direction during heating up. In the y direction the phase is initially inhomogeneous (several phase jumps) but remains quite constant during thermal loading"
