file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F3c.png,10.1016/j.actamat.2021.116797#F3c,F3c,1,o10,OM,crop,shown,267,211,True,[1120]
images/F3d.png,10.1016/j.actamat.2021.116797#F3d,F3d,1,o10,OM,crop,shown,268,185,True,[1120]
images/F3e.png,10.1016/j.actamat.2021.116797#F3e,F3e,1,o10,OM,crop,shown,270,221,True,"[010], and"
images/F3f.png,10.1016/j.actamat.2021.116797#F3f,F3f,1,o10,OM,crop,shown,265,184,True,"[010], and"
images/F4a.png,10.1016/j.actamat.2021.116797#F4a,F4a,2,o13,OM,crop,partial,745,623,True,[1120] and
images/F4b.png,10.1016/j.actamat.2021.116797#F4b,F4b,2,o13,OM,crop,partial,745,631,True,[01i0] loading orientations to 5\% plastic strain at the temperatures indicated. The Miller indices of the side surface planes in observation are indicated in the figure
images/F5a.png,10.1016/j.actamat.2021.116797#F5a,F5a,3,o14,EBSD,crop,shown,324,568,True,Crystal orientation maps of deformation microstructures of the specimen deformed in the [1120] orientation at RT to 5\% plastic strain and observed on the (1i00) side surface and
images/F5b.png,10.1016/j.actamat.2021.116797#F5b,F5b,3,o14,EBSD,crop,shown,300,570,True,Crystal orientation maps of deformation microstructures of the specimen deformed in the [1120] orientation at RT to 5\% plastic strain and observed on the (1i00) side surface respectively
images/F5e.png,10.1016/j.actamat.2021.116797#F5e,F5e,3,o14,EBSD,crop,shown,293,568,True,"Crystal orientation map of the specimen deformed in the [01ioj orientation at RT to 5\% plastic strain and observed on the (2110) side surface but the colors in the map indicate the crystal orientation along the loading axis, in order to distinguish the orientation colors of the deformation twins and deformation kink bands The colors of the bar graph of Figs. 5"
images/F5f.png,10.1016/j.actamat.2021.116797#F5f,F5f,3,o14,EBSD,crop,shown,354,570,True,The same region in Fig. 5
images/F6a.png,10.1016/j.actamat.2021.116797#F6a,F6a,4,o16,TEM,crop,shown,699,457,True,Bright-field TEM image of the deformation kink bands introduced in the specimen deformed in the [1120] orientation at RT to 5\% plastic strain. The observation direction is nearly parallel to [1ioo] in the matrix
images/F6b.png,10.1016/j.actamat.2021.116797#F6b,F6b,5,o17,TEM:SAED,crop,shown,373,353,True,Higher-magnification image of the kink bands
images/F6c.png,10.1016/j.actamat.2021.116797#F6c,F6c,5,o17,TEM:SAED,crop,shown,175,173,True,SAED patterns taken at points A–D indicated in Fig. 6
images/F6d.png,10.1016/j.actamat.2021.116797#F6d,F6d,5,o17,TEM:SAED,crop,shown,173,175,True,SAED patterns taken at points A–D indicated in Fig. 6
images/F6e.png,10.1016/j.actamat.2021.116797#F6e,F6e,5,o17,TEM:SAED,crop,shown,175,173,True,SAED patterns taken at points A–D indicated in Fig. 6
images/F6f.png,10.1016/j.actamat.2021.116797#F6f,F6f,5,o17,TEM:SAED,crop,shown,171,172,True,SAED patterns taken at points A–D indicated in Fig. 6
