file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F1b.png,10.1016/j.actamat.2021.116797#F1b,F1b,1,n8,TEM,crop,shown,309,315,True,"Bright-field TEM image showing the microstructure in the as-grown alloy was annealed at 520C for 5h followed by water quenching, and"
images/F1c.png,10.1016/j.actamat.2021.116797#F1c,F1c,1,n8,TEM,crop,shown,422,316,True,Corresponding HAADF-STEM image. The inset shows a higher-magnification image. Zn/Y atoms are segregated along four atomic layers where an fcc-type stacking fault exists
images/F1d.png,10.1016/j.actamat.2021.116797#F1d,F1d,1,n8,TEM,crop,shown,309,324,True,TEM images showing the variation in microstructure due to heat treatment specimen in Fig. 1 was annealed further at 400C for 5h
images/F1e.png,10.1016/j.actamat.2021.116797#F1e,F1e,1,n8,TEM,crop,shown,310,326,True,TEM images showing the variation in microstructure due to heat treatment specimen in Fig. 1
images/F1f.png,10.1016/j.actamat.2021.116797#F1f,F1f,1,n8,TEM,crop,shown,438,328,True,"Variation in the number of LPSO nanoplates per 1 m and their average thickness according to heat treatment, measured along [0001] in the TEM. The observation direction is parallel to [1120] in all the Figs. 1"
images/F8a.png,10.1016/j.actamat.2021.116797#F8a,F8a,2,n12,MECH:compression,oracle,shown,356,346,True,Variation in the yield stress with heat treatment for deformation in the [1120] orientation at RT
images/F2a.png,10.1016/j.actamat.2021.116797#F2a,F2a,2,n12,MECH:compression,oracle,shown,602,472,True,Temperature dependence of the yield stress of the as-grown Mg99.2Zn0.20.6 single crystal in four loading orientations. The yield stress of the pure-Mg single crystals reported in ref. [32] and that measured in this study are also plotted in gray for comparison
images/F2a.png,10.1016/j.actamat.2021.116797#F2a,F2a,2,n12,MECH:compression,oracle,shown,602,472,True,Temperature dependence of the yield stress of the as-grown Mg99.2Zn0.20.6 single crystal in four loading orientations. The yield stress of the pure-Mg single crystals reported in ref. [32] and that measured in this study are also plotted in gray for comparison
images/F10a.png,10.1016/j.actamat.2021.116797#F10a,F10a,3,n18,MECH:tensile,oracle,shown,415,357,True,Stress-strain curve in the tensile test of Mg99.2Zn0.20.6 single crystal along [ooo1] at RT. The entire view of the deformed specimen is inserted in the figure The side surface planes in observation is parallel to (10i0)
images/F10b.png,10.1016/j.actamat.2021.116797#F10b,F10b,3,n18,MECH:tensile,oracle,shown,324,323,True,"Higher magnification image of the deformation microstructure showing the formation of many deformation kink bands, observed at the part indicated by the red circle in Fig. 10"
