file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F2.png,10.1016/j.biomaterials.2011.11.042#F2,F2,1,n8,XRD:small_angle,crop,shown,695,497,True,"Fig. 2. Small-angle XRD analysis for MBG, 2Co-MBG and 5Co-MBG scaffolds."
images/F4a.png,10.1016/j.biomaterials.2011.11.042#F4a,F4a,1,n8,XRD:small_angle,crop,shown,467,483,True,and 5Co-MBG
images/F4b.png,10.1016/j.biomaterials.2011.11.042#F4b,F4b,1,n8,XRD:small_angle,crop,shown,468,484,True,scaffolds. They have well-ordered mesopore channel structure with a pore size around 4.5-5nm
images/F3a.png,10.1016/j.biomaterials.2011.11.042#F3a,F3a,1,n8,XRD:small_angle,crop,shown,682,501,True,and mesopore pore size distribution
images/F3a.png,10.1016/j.biomaterials.2011.11.042#F3a,F3a,1,n8,XRD:small_angle,crop,shown,682,501,True,and mesopore pore size distribution
images/F3b.png,10.1016/j.biomaterials.2011.11.042#F3b,F3b,1,n8,XRD:small_angle,crop,shown,684,486,True,"of MBG, 2Co-MBG and 5Co-MBG scaffolds"
images/F5a.png,10.1016/j.biomaterials.2011.11.042#F5a,F5a,2,n11,CHEM:ion_concentration,crop,shown,704,542,True,SiO44-
images/F9.png,10.1016/j.biomaterials.2011.11.042#F9,F9,2,n11,CHEM:ion_concentration,crop,shown,650,175,True,Fig. 9. HIF-1a expression of BMSCs in Co-MBG scaffolds by western blotting.
images/F11a.png,10.1016/j.biomaterials.2011.11.042#F11a,F11a,2,n11,CHEM:ion_concentration,crop,shown,666,498,True,and its anti-bacteria effect
images/F11b.png,10.1016/j.biomaterials.2011.11.042#F11b,F11b,2,n11,CHEM:ion_concentration,crop,shown,666,498,True,"\*: significant difference for the group of scaffolds loaded with ampicillin, compared to blank control and scaffolds groups without loaded with ampicillin (P<0.05),"
images/F9.png,10.1016/j.biomaterials.2011.11.042#F9,F9,3,n12,BIO:western_blot,oracle,partial,650,175,True,Fig. 9. HIF-1a expression of BMSCs in Co-MBG scaffolds by western blotting.
images/F11b.png,10.1016/j.biomaterials.2011.11.042#F11b,F11b,3,n12,BIO:western_blot,oracle,partial,666,498,True,"\*: significant difference for the group of scaffolds loaded with ampicillin, compared to blank control and scaffolds groups without loaded with ampicillin (P<0.05),"
