file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F1a.png,10.1007/s12598-012-0515-6#F1a,F1a,1,s1,SEM,crop,shown,329,240,True,Al-Cu-Mn
images/F1b.png,10.1007/s12598-012-0515-6#F1b,F1b,1,s1,SEM,crop,shown,326,237,True,Al-Cu-Mn-Sm
images/F1c.png,10.1007/s12598-012-0515-6#F1c,F1c,1,s1,SEM,crop,shown,330,239,True,"Al-Cu-Mn-La(arrow A: Al2Cu phase, arrow B: Al6Cu6La phase)"
images/F2.png,10.1007/s12598-012-0515-6#F2,F2,1,s1,SEM,crop,shown,586,425,True,Fig. 2 XRD patterns of the as-cast alloys
images/F1c.png,10.1007/s12598-012-0515-6#F1c,F1c,1,s1,SEM,crop,shown,330,239,True,"Al-Cu-Mn-La(arrow A: Al2Cu phase, arrow B: Al6Cu6La phase)"
images/F3.png,10.1007/s12598-012-0515-6#F3,F3,1,s1,SEM,crop,shown,594,445,True,Fig. 3 DSC curves of the as-cast alloys
images/F4a.png,10.1007/s12598-012-0515-6#F4a,F4a,1,s1,SEM,crop,shown,340,336,True,Al-Cu-Mn
images/F4b.png,10.1007/s12598-012-0515-6#F4b,F4b,1,s1,SEM,crop,shown,338,336,True,Al-Cu-Mn-Sm
images/F4c.png,10.1007/s12598-012-0515-6#F4c,F4c,1,s1,SEM,crop,shown,335,338,True,Al-Cu-Mn-La
images/F4a.png,10.1007/s12598-012-0515-6#F4a,F4a,1,s1,SEM,crop,shown,340,336,True,Al-Cu-Mn
images/F4b.png,10.1007/s12598-012-0515-6#F4b,F4b,1,s1,SEM,crop,shown,338,336,True,Al-Cu-Mn-Sm
images/F4c.png,10.1007/s12598-012-0515-6#F4c,F4c,1,s1,SEM,crop,shown,335,338,True,Al-Cu-Mn-La
images/F4a.png,10.1007/s12598-012-0515-6#F4a,F4a,2,s6,TEM,crop,shown,340,336,True,Al-Cu-Mn
images/F4b.png,10.1007/s12598-012-0515-6#F4b,F4b,2,s6,TEM,crop,shown,338,336,True,Al-Cu-Mn-Sm
images/F4c.png,10.1007/s12598-012-0515-6#F4c,F4c,2,s6,TEM,crop,shown,335,338,True,Al-Cu-Mn-La
