file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F4a.png,10.1002/aenm.202003419#F4a,F4a,1,n16,ECHEM:coulombic_efficiency,oracle,shown,667,257,True,Coulombic efficiency of C HS and CnCHS with an areal capacity of 1\mAh\cm-2 at 4mAcm-2
images/F4b.png,10.1002/aenm.202003419#F4b,F4b,1,n16,ECHEM:coulombic_efficiency,oracle,shown,673,256,True,Galvanostatic cycling performance for CnC HS/Zn and C HS/Zn symmetric cells
images/F4c.png,10.1002/aenm.202003419#F4c,F4c,1,n16,ECHEM:coulombic_efficiency,oracle,shown,903,273,True,Typical charge–discharge curves of CnCHS and C HS at various current densities
images/F4d.png,10.1002/aenm.202003419#F4d,F4d,1,n16,ECHEM:coulombic_efficiency,oracle,shown,442,278,True,Initial-section of discharge profiles for C HS and CnC HS
images/F4e.png,10.1002/aenm.202003419#F4e,F4e,1,n16,ECHEM:coulombic_efficiency,oracle,shown,663,261,True,Galvanostatic cycling performance for CnCHS/Zn and CHS/Zn symmetric cells under various current densities
images/F3d.png,10.1002/aenm.202003419#F3d,F3d,2,n14,SEM,crop,shown,377,363,True,CnC HS and
images/F3e.png,10.1002/aenm.202003419#F3e,F3e,2,n14,SEM,crop,shown,374,394,True,C HS with Zn plating. Schematic of
images/F4a.png,10.1002/aenm.202003419#F4a,F4a,2,n14,SEM,crop,shown,667,257,True,Coulombic efficiency of C HS and CnCHS with an areal capacity of 1\mAh\cm-2 at 4mAcm-2
images/F4b.png,10.1002/aenm.202003419#F4b,F4b,2,n14,SEM,crop,shown,673,256,True,Galvanostatic cycling performance for CnC HS/Zn and C HS/Zn symmetric cells
images/F4e.png,10.1002/aenm.202003419#F4e,F4e,2,n14,SEM,crop,shown,663,261,True,Galvanostatic cycling performance for CnCHS/Zn and CHS/Zn symmetric cells under various current densities
