file,panel_id,suffix,step,node,technique,delivery,expected_support,width,height,resolved,caption_span
images/F3d.png,10.1016/j.bioactmat.2019.12.006#F3d,F3d,1,n16,CHEM:chemiluminescence,crop,shown,530,390,True,The NO release pattern of BVLD/NO-PPAmF coating
images/F2b.png,10.1016/j.bioactmat.2019.12.006#F2b,F2b,1,n16,CHEM:chemiluminescence,crop,shown,558,415,True,The NO release pattern of PPAm after NO loading
images/F3d.png,10.1016/j.bioactmat.2019.12.006#F3d,F3d,1,n16,CHEM:chemiluminescence,crop,shown,530,390,True,The NO release pattern of BVLD/NO-PPAmF coating
images/F5a.png,10.1016/j.bioactmat.2019.12.006#F5a,F5a,2,n18,SEM,crop,shown,1101,215,True,SEM images of platelets on various substrates after being incubated in PRP for 2h
images/F5b.png,10.1016/j.bioactmat.2019.12.006#F5b,F5b,2,n18,SEM,crop,shown,554,477,True,The number and
images/F5c.png,10.1016/j.bioactmat.2019.12.006#F5c,F5c,2,n18,SEM,crop,shown,545,472,True,the activated rate of adhered platelets
images/F6b.png,10.1016/j.bioactmat.2019.12.006#F6b,F6b,2,n18,SEM,crop,shown,975,205,True,Cross sectional images of various samples after 2 h of blood circulation
images/F6c.png,10.1016/j.bioactmat.2019.12.006#F6c,F6c,2,n18,SEM,crop,shown,974,213,True,Photographes of the formed thrombus
images/F6d.png,10.1016/j.bioactmat.2019.12.006#F6d,F6d,2,n18,SEM,crop,shown,1270,229,True,The thrombus components evaluated by SEM
images/F6e.png,10.1016/j.bioactmat.2019.12.006#F6e,F6e,2,n18,SEM,crop,shown,423,473,True,Occlusion rates
images/F6f.png,10.1016/j.bioactmat.2019.12.006#F6f,F6f,2,n18,SEM,crop,shown,411,471,True,Weight of thrombus
images/F6g.png,10.1016/j.bioactmat.2019.12.006#F6g,F6g,2,n18,SEM,crop,shown,424,470,True,"Retention of blood flow rate. Data are expressed as mean SD i=4 ) and analyzed using a one-way ANOVA, *p\<\0.05 , p\<\0.01 , p<0.001"
