rank,doi,journal,year,tier_A_share,ocr_present,n_nodes,n_obs,n_obs_with_panel_ids,n_panel_ids,panels_offered,panels_cited,n_audits,judge_verdict,panel_checks,panel_checks_overturned,new_type_proposals
1,j.bioactmat.2020.02.005,Bioactive_Materials,2020,0.545,False,45,18,18,24,26,21,0,approved with changes,4,0,0
2,j.jma.2013.12.002,Journal_of_Magnesium_and_Alloys,2013,0.667,False,32,10,9,17,16,15,0,approved with changes,3,0,0
3,10.1002_adma.201404945,Advanced_Materials,2015,0.75,False,38,13,13,21,15,14,1,approved with changes,3,0,0
4,aenm.201501833,Advanced_Energy_Materials,2015,0.8,False,36,12,10,14,14,13,0,approved,3,0,0
5,s40145-019-0329-1,Journal_of_Advanced_Ceramics,2019,0.25,False,40,13,13,17,14,12,0,approved,3,0,0
6,j.jma.2020.02.028,Journal_of_Magnesium_and_Alloys,2020,0.667,False,45,12,11,24,41,18,0,approved with changes,4,0,0
7,s40145-019-0334-4,Journal_of_Advanced_Ceramics,2019,0.222,False,35,11,9,15,17,14,0,approved with changes,4,0,0
8,j.jma.2015.01.001,Journal_of_Magnesium_and_Alloys,2015,0.429,False,41,12,11,18,14,14,0,approved with changes,3,0,0
9,10.1002_adfm.202005093,Advanced_Functional_Materials,2020,1.0,False,40,15,15,19,43,18,0,approved with changes,3,0,0
10,10.1002_adma.201300071,Advanced_Materials,2013,1.0,False,40,15,14,22,24,20,1,approved with changes,3,0,0
11,10.1021_acs.nanolett.6b04294,Nano_Letters,2017,1.0,False,40,14,14,22,24,22,0,approved with changes,3,0,0
12,10.1016_j.actamat.2015.04.055,Acta_Materialia,2015,1.0,True,37,10,9,15,15,15,0,approved with changes,3,0,0
13,aenm.201601491,Advanced_Energy_Materials,2016,1.0,False,40,13,13,18,22,17,0,approved with changes,3,0,0
14,s40145-021-0466-1,Journal_of_Advanced_Ceramics,2021,1.0,False,39,14,13,16,18,16,0,approved with changes,3,0,0
15,j.jma.2020.11.023,Journal_of_Magnesium_and_Alloys,2021,1.0,False,40,13,13,21,27,21,0,approved with changes,3,0,0
16,j.jmst.2021.11.055,Journal_of_Materials_Science_&_Technology,2022,1.0,False,40,13,13,21,34,21,0,approved with changes,3,0,0
17,j.matchar.2015.10.016,Materials_Characterization,2015,1.0,False,39,16,16,20,14,12,0,approved with changes,5,1,0
18,j.porgcoat.2016.09.010,Progress_in_Organic_Coatings,2016,0.75,False,39,13,11,20,27,16,1,approved with changes,5,0,0
19,j.bioactmat.2019.01.001,Bioactive_Materials,2019,0.833,False,35,12,12,16,14,13,1,approved with changes,4,0,0
20,s42114-021-00366-2,Advanced_Composites_and_Hybrid_Materials,2021,0.857,False,40,14,14,23,23,20,2,approved with changes,4,0,0
21,s12598-012-0515-6,Rare_Metals,2012,0.5,False,30,8,7,13,9,9,1,approved with changes,5,1,0
22,10.1002_adfm.201604687,Advanced_Functional_Materials,2016,1.0,False,39,15,15,27,34,21,2,approved with changes,4,1,0
23,10.1002_adma.201702037,Advanced_Materials,2017,1.0,False,40,17,17,22,24,16,2,approved with changes,3,1,0
24,10.1021_acs.nanolett.5b03976,Nano_Letters,2016,1.0,False,40,15,15,19,16,14,2,approved with changes,3,0,0
25,10.1016_j.actamat.2014.06.008,Acta_Materialia,2014,1.0,True,42,16,16,25,31,20,1,approved with changes,3,0,0
26,aenm.201301564,Advanced_Energy_Materials,2014,1.0,False,42,17,17,24,22,17,2,approved with changes,3,0,0
27,s40145-021-0476-z,Journal_of_Advanced_Ceramics,2021,1.0,False,43,16,15,26,30,25,2,approved with changes,3,0,0
28,j.jma.2019.01.003,Journal_of_Magnesium_and_Alloys,2019,0.909,False,39,13,11,21,29,15,3,approved with changes,3,0,0
29,j.jmst.2020.05.053,Journal_of_Materials_Science_&_Technology,2020,1.0,False,41,15,14,23,18,18,2,approved with changes,3,0,0
30,j.matchar.2017.11.052,Materials_Characterization,2017,0.778,False,33,11,8,18,24,19,1,approved with changes,3,1,0
31,j.porgcoat.2020.105876,Progress_in_Organic_Coatings,2020,0.667,False,38,14,10,18,29,18,2,approved with changes,3,0,0
32,j.bioactmat.2020.01.002,Bioactive_Materials,2020,0.778,False,36,12,11,11,16,10,1,approved with changes,3,0,0
